;bron.@id;bron.@type;@type;@id;RelatieObject.bron;RelatieObject.doel;RelatieObject.doelAssetId;RelatieObject.typeURI;RelatieObject.assetId;RelatieObject.bronAssetId;AIMDBStatus.isActief;RelatieObject.bron.@type;RelatieObject.bron.@id;RelatieObject.bron.uuid;RelatieObject.doel.@type;RelatieObject.doel.@id;RelatieObject.doel.uuid;doel.@id;doel.@type;doel.loc:Locatie.geometrie
4;https://data.awvvlaanderen.be/id/asset/0b10f335-95ac-4126-a3c0-9d90337e8d6a-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/2cc8b0f6-6a17-42c0-9881-c15d7d333b43-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/0b10f335-95ac-4126-a3c0-9d90337e8d6a-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/91501712-0bb1-45c6-a567-58cb94315de1-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.identificator': '91501712-0bb1-45c6-a567-58cb94315de1-bGdjOmluc3RhbGxhdGllI0xT', 'DtcIdentificator.toegekendDoor': 'AWV'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '2cc8b0f6-6a17-42c0-9881-c15d7d333b43-b25kZXJkZWVsI0hvb3J0Qmlq'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '0b10f335-95ac-4126-a3c0-9d90337e8d6a-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/0b10f335-95ac-4126-a3c0-9d90337e8d6a-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;0b10f335-95ac-4126-a3c0-9d90337e8d6a;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/91501712-0bb1-45c6-a567-58cb94315de1-bGdjOmluc3RhbGxhdGllI0xT;91501712-0bb1-45c6-a567-58cb94315de1;https://data.awvvlaanderen.be/id/asset/91501712-0bb1-45c6-a567-58cb94315de1-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
5;https://data.awvvlaanderen.be/id/asset/0b6d8a56-a244-4d2f-93c3-bbb7ad005e22-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/5a15c2db-9763-43e1-9625-ad6106612866-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/0b6d8a56-a244-4d2f-93c3-bbb7ad005e22-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/60b19a02-78cb-4a0d-8e13-2277d8ad9adb-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.identificator': '60b19a02-78cb-4a0d-8e13-2277d8ad9adb-bGdjOmluc3RhbGxhdGllI0xT', 'DtcIdentificator.toegekendDoor': 'AWV'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.identificator': '5a15c2db-9763-43e1-9625-ad6106612866-b25kZXJkZWVsI0hvb3J0Qmlq', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '0b6d8a56-a244-4d2f-93c3-bbb7ad005e22-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/0b6d8a56-a244-4d2f-93c3-bbb7ad005e22-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;0b6d8a56-a244-4d2f-93c3-bbb7ad005e22;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/60b19a02-78cb-4a0d-8e13-2277d8ad9adb-bGdjOmluc3RhbGxhdGllI0xT;60b19a02-78cb-4a0d-8e13-2277d8ad9adb;https://data.awvvlaanderen.be/id/asset/60b19a02-78cb-4a0d-8e13-2277d8ad9adb-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
15;https://data.awvvlaanderen.be/id/asset/3f139fca-6426-4b0a-931d-5efe5943942c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/a2bf6a82-61fd-4d29-a66d-7161812bd13e-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/3f139fca-6426-4b0a-931d-5efe5943942c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/caa9e588-9674-4508-86d3-695ad25217d3-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': 'caa9e588-9674-4508-86d3-695ad25217d3-bGdjOmluc3RhbGxhdGllI0xT'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': 'a2bf6a82-61fd-4d29-a66d-7161812bd13e-b25kZXJkZWVsI0hvb3J0Qmlq'};{'DtcIdentificator.identificator': '3f139fca-6426-4b0a-931d-5efe5943942c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/3f139fca-6426-4b0a-931d-5efe5943942c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;3f139fca-6426-4b0a-931d-5efe5943942c;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/caa9e588-9674-4508-86d3-695ad25217d3-bGdjOmluc3RhbGxhdGllI0xT;caa9e588-9674-4508-86d3-695ad25217d3;https://data.awvvlaanderen.be/id/asset/caa9e588-9674-4508-86d3-695ad25217d3-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
19;https://data.awvvlaanderen.be/id/asset/43bd4019-633e-4fe3-9903-d57b4b0bd75c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/065bf9c2-0421-43dc-9e53-cabb1d493c7d-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/43bd4019-633e-4fe3-9903-d57b4b0bd75c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/5843b8bc-96a8-4cd8-a8a5-1bdf5f0b8f0d-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '5843b8bc-96a8-4cd8-a8a5-1bdf5f0b8f0d-bGdjOmluc3RhbGxhdGllI0xT'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '065bf9c2-0421-43dc-9e53-cabb1d493c7d-b25kZXJkZWVsI0hvb3J0Qmlq'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '43bd4019-633e-4fe3-9903-d57b4b0bd75c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/43bd4019-633e-4fe3-9903-d57b4b0bd75c-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;43bd4019-633e-4fe3-9903-d57b4b0bd75c;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/5843b8bc-96a8-4cd8-a8a5-1bdf5f0b8f0d-bGdjOmluc3RhbGxhdGllI0xT;5843b8bc-96a8-4cd8-a8a5-1bdf5f0b8f0d;https://data.awvvlaanderen.be/id/asset/5843b8bc-96a8-4cd8-a8a5-1bdf5f0b8f0d-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
20;https://data.awvvlaanderen.be/id/asset/441f1a9c-591f-48fd-9f3c-dbc9f53ab98f-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/21f34399-3541-4247-969e-f1117c364916-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/441f1a9c-591f-48fd-9f3c-dbc9f53ab98f-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/756a6e05-0d7f-4423-aecf-20a6394ced08-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.identificator': '756a6e05-0d7f-4423-aecf-20a6394ced08-bGdjOmluc3RhbGxhdGllI0xT', 'DtcIdentificator.toegekendDoor': 'AWV'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.identificator': '21f34399-3541-4247-969e-f1117c364916-b25kZXJkZWVsI0hvb3J0Qmlq', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '441f1a9c-591f-48fd-9f3c-dbc9f53ab98f-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/441f1a9c-591f-48fd-9f3c-dbc9f53ab98f-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;441f1a9c-591f-48fd-9f3c-dbc9f53ab98f;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/756a6e05-0d7f-4423-aecf-20a6394ced08-bGdjOmluc3RhbGxhdGllI0xT;756a6e05-0d7f-4423-aecf-20a6394ced08;https://data.awvvlaanderen.be/id/asset/756a6e05-0d7f-4423-aecf-20a6394ced08-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
28;https://data.awvvlaanderen.be/id/asset/5159b66a-176e-4110-9565-bea294103b14-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/9e4b9c7e-be77-4760-9ab2-9f2ad057af75-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/5159b66a-176e-4110-9565-bea294103b14-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/66fc2708-a26a-4744-98d2-f685cf8a263a-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '66fc2708-a26a-4744-98d2-f685cf8a263a-bGdjOmluc3RhbGxhdGllI0xT'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '9e4b9c7e-be77-4760-9ab2-9f2ad057af75-b25kZXJkZWVsI0hvb3J0Qmlq'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '5159b66a-176e-4110-9565-bea294103b14-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/5159b66a-176e-4110-9565-bea294103b14-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;5159b66a-176e-4110-9565-bea294103b14;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/66fc2708-a26a-4744-98d2-f685cf8a263a-bGdjOmluc3RhbGxhdGllI0xT;66fc2708-a26a-4744-98d2-f685cf8a263a;https://data.awvvlaanderen.be/id/asset/66fc2708-a26a-4744-98d2-f685cf8a263a-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
29;https://data.awvvlaanderen.be/id/asset/5691722d-7d71-4d69-a749-15058e44174b-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/036882ed-c240-442c-90e9-ad2ed21b91c8-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/5691722d-7d71-4d69-a749-15058e44174b-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/1978bca4-5eb5-4022-970f-0a4672156671-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '1978bca4-5eb5-4022-970f-0a4672156671-bGdjOmluc3RhbGxhdGllI0xT'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.identificator': '036882ed-c240-442c-90e9-ad2ed21b91c8-b25kZXJkZWVsI0hvb3J0Qmlq', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.identificator': '5691722d-7d71-4d69-a749-15058e44174b-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/5691722d-7d71-4d69-a749-15058e44174b-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;5691722d-7d71-4d69-a749-15058e44174b;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/1978bca4-5eb5-4022-970f-0a4672156671-bGdjOmluc3RhbGxhdGllI0xT;1978bca4-5eb5-4022-970f-0a4672156671;https://data.awvvlaanderen.be/id/asset/1978bca4-5eb5-4022-970f-0a4672156671-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
37;https://data.awvvlaanderen.be/id/asset/6ea0d8cc-0256-4d85-9fc6-9355fbe901aa-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/9e5c86a8-a972-487f-b9a9-540ab144bd0d-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/6ea0d8cc-0256-4d85-9fc6-9355fbe901aa-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#Af', '@id': 'https://data.awvvlaanderen.be/id/asset/8c3d8e84-3254-4591-abe2-22a18fd13f8c-bGdjOmluc3RhbGxhdGllI0Fm'};{'DtcIdentificator.identificator': '8c3d8e84-3254-4591-abe2-22a18fd13f8c-bGdjOmluc3RhbGxhdGllI0Fm', 'DtcIdentificator.toegekendDoor': 'AWV'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '9e5c86a8-a972-487f-b9a9-540ab144bd0d-b25kZXJkZWVsI0hvb3J0Qmlq'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '6ea0d8cc-0256-4d85-9fc6-9355fbe901aa-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/6ea0d8cc-0256-4d85-9fc6-9355fbe901aa-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;6ea0d8cc-0256-4d85-9fc6-9355fbe901aa;https://lgc.data.wegenenverkeer.be/ns/installatie#Af;https://data.awvvlaanderen.be/id/asset/8c3d8e84-3254-4591-abe2-22a18fd13f8c-bGdjOmluc3RhbGxhdGllI0Fm;8c3d8e84-3254-4591-abe2-22a18fd13f8c;https://data.awvvlaanderen.be/id/asset/8c3d8e84-3254-4591-abe2-22a18fd13f8c-bGdjOmluc3RhbGxhdGllI0Fm;https://lgc.data.wegenenverkeer.be/ns/installatie#Af;
46;https://data.awvvlaanderen.be/id/asset/83ace8fc-e89f-4f10-9664-b2da1bac4548-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/46261671-274a-4279-b6df-a15e42246b58-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/83ace8fc-e89f-4f10-9664-b2da1bac4548-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/dee976ee-b15d-4e71-9e5a-96c2f3d03bde-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.identificator': 'dee976ee-b15d-4e71-9e5a-96c2f3d03bde-bGdjOmluc3RhbGxhdGllI0xT', 'DtcIdentificator.toegekendDoor': 'AWV'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.identificator': '46261671-274a-4279-b6df-a15e42246b58-b25kZXJkZWVsI0hvb3J0Qmlq', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '83ace8fc-e89f-4f10-9664-b2da1bac4548-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/83ace8fc-e89f-4f10-9664-b2da1bac4548-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;83ace8fc-e89f-4f10-9664-b2da1bac4548;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/dee976ee-b15d-4e71-9e5a-96c2f3d03bde-bGdjOmluc3RhbGxhdGllI0xT;dee976ee-b15d-4e71-9e5a-96c2f3d03bde;https://data.awvvlaanderen.be/id/asset/dee976ee-b15d-4e71-9e5a-96c2f3d03bde-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
54;https://data.awvvlaanderen.be/id/asset/9719c9d7-055c-4795-bff9-135938fafc8d-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;https://data.awvvlaanderen.be/id/assetrelatie/a7223a5c-0c23-4bf6-8f42-cd2d5ed1f799-b25kZXJkZWVsI0hvb3J0Qmlq;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB', '@id': 'https://data.awvvlaanderen.be/id/asset/9719c9d7-055c-4795-bff9-135938fafc8d-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};{'@type': 'https://lgc.data.wegenenverkeer.be/ns/installatie#LS', '@id': 'https://data.awvvlaanderen.be/id/asset/2ac1b875-a67a-4ae1-a28e-6853edf5b674-bGdjOmluc3RhbGxhdGllI0xT'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '2ac1b875-a67a-4ae1-a28e-6853edf5b674-bGdjOmluc3RhbGxhdGllI0xT'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#HoortBij;{'DtcIdentificator.identificator': 'a7223a5c-0c23-4bf6-8f42-cd2d5ed1f799-b25kZXJkZWVsI0hvb3J0Qmlq', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '9719c9d7-055c-4795-bff9-135938fafc8d-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#EnergiemeterDNB;https://data.awvvlaanderen.be/id/asset/9719c9d7-055c-4795-bff9-135938fafc8d-b25kZXJkZWVsI0VuZXJnaWVtZXRlckROQg;9719c9d7-055c-4795-bff9-135938fafc8d;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;https://data.awvvlaanderen.be/id/asset/2ac1b875-a67a-4ae1-a28e-6853edf5b674-bGdjOmluc3RhbGxhdGllI0xT;2ac1b875-a67a-4ae1-a28e-6853edf5b674;https://data.awvvlaanderen.be/id/asset/2ac1b875-a67a-4ae1-a28e-6853edf5b674-bGdjOmluc3RhbGxhdGllI0xT;https://lgc.data.wegenenverkeer.be/ns/installatie#LS;
