;bron.@id;bron.@type;@type;@id;RelatieObject.bron;RelatieObject.doel;RelatieObject.typeURI;RelatieObject.doelAssetId;RelatieObject.assetId;RelatieObject.bronAssetId;AIMDBStatus.isActief;RelatieObject.bron.@type;RelatieObject.bron.@id;RelatieObject.bron.uuid;RelatieObject.doel.@type;RelatieObject.doel.@id;RelatieObject.doel.uuid;doel.@id;doel.@type;doel.loc:Locatie.geometrie
0;https://data.awvvlaanderen.be/id/asset/05672293-393b-4e8a-8fa2-d3328adcf02f-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/4346adf5-b361-4c52-9d9d-b750731a551d-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/05672293-393b-4e8a-8fa2-d3328adcf02f-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/87caa6fc-68cd-4bd3-a074-33fecbf16856-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '87caa6fc-68cd-4bd3-a074-33fecbf16856-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.identificator': '4346adf5-b361-4c52-9d9d-b750731a551d-b25kZXJkZWVsI0JldmVzdGlnaW5n', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.identificator': '05672293-393b-4e8a-8fa2-d3328adcf02f-b25kZXJkZWVsI05ldHdlcmtrYWFydA', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/05672293-393b-4e8a-8fa2-d3328adcf02f-b25kZXJkZWVsI05ldHdlcmtrYWFydA;05672293-393b-4e8a-8fa2-d3328adcf02f;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/87caa6fc-68cd-4bd3-a074-33fecbf16856-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;87caa6fc-68cd-4bd3-a074-33fecbf16856;https://data.awvvlaanderen.be/id/asset/87caa6fc-68cd-4bd3-a074-33fecbf16856-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
2;https://data.awvvlaanderen.be/id/asset/094d75bb-3c4e-476c-a25c-f80d280c3a38-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/3840bdcb-bd4f-4ca8-ac2e-70a53230c17d-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/094d75bb-3c4e-476c-a25c-f80d280c3a38-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/da241b27-7b61-48e9-8ea8-3df763716f9a-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': 'da241b27-7b61-48e9-8ea8-3df763716f9a-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.identificator': '3840bdcb-bd4f-4ca8-ac2e-70a53230c17d-b25kZXJkZWVsI0JldmVzdGlnaW5n', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '094d75bb-3c4e-476c-a25c-f80d280c3a38-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/094d75bb-3c4e-476c-a25c-f80d280c3a38-b25kZXJkZWVsI05ldHdlcmtrYWFydA;094d75bb-3c4e-476c-a25c-f80d280c3a38;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/da241b27-7b61-48e9-8ea8-3df763716f9a-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;da241b27-7b61-48e9-8ea8-3df763716f9a;https://data.awvvlaanderen.be/id/asset/da241b27-7b61-48e9-8ea8-3df763716f9a-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
9;https://data.awvvlaanderen.be/id/asset/1ce81171-dfeb-4df3-84bf-50598f860279-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/0f6776ac-f5de-47b6-b490-09568cfa9ee3-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/1ce81171-dfeb-4df3-84bf-50598f860279-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/76308cd7-9865-4976-9954-95fd384ab847-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '76308cd7-9865-4976-9954-95fd384ab847-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '0f6776ac-f5de-47b6-b490-09568cfa9ee3-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '1ce81171-dfeb-4df3-84bf-50598f860279-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/1ce81171-dfeb-4df3-84bf-50598f860279-b25kZXJkZWVsI05ldHdlcmtrYWFydA;1ce81171-dfeb-4df3-84bf-50598f860279;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/76308cd7-9865-4976-9954-95fd384ab847-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;76308cd7-9865-4976-9954-95fd384ab847;https://data.awvvlaanderen.be/id/asset/76308cd7-9865-4976-9954-95fd384ab847-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
11;https://data.awvvlaanderen.be/id/asset/20ae25e2-0067-453d-adeb-45ef7a09c18b-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/460d9cf1-08c2-4710-bd8d-2a81c57f24b8-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/20ae25e2-0067-453d-adeb-45ef7a09c18b-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/a8153402-746e-4cf4-a659-3a23a91ff4eb-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': 'a8153402-746e-4cf4-a659-3a23a91ff4eb-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '460d9cf1-08c2-4710-bd8d-2a81c57f24b8-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '20ae25e2-0067-453d-adeb-45ef7a09c18b-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/20ae25e2-0067-453d-adeb-45ef7a09c18b-b25kZXJkZWVsI05ldHdlcmtrYWFydA;20ae25e2-0067-453d-adeb-45ef7a09c18b;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/a8153402-746e-4cf4-a659-3a23a91ff4eb-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;a8153402-746e-4cf4-a659-3a23a91ff4eb;https://data.awvvlaanderen.be/id/asset/a8153402-746e-4cf4-a659-3a23a91ff4eb-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
13;https://data.awvvlaanderen.be/id/asset/2143da76-877d-4603-b0af-b04b441cb1bf-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/55a18530-7e1c-4579-a7d1-665e9abe0e23-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/2143da76-877d-4603-b0af-b04b441cb1bf-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/ac0da9a1-1fa3-44c7-9e98-b89af4bef5fa-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': 'ac0da9a1-1fa3-44c7-9e98-b89af4bef5fa-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '55a18530-7e1c-4579-a7d1-665e9abe0e23-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.identificator': '2143da76-877d-4603-b0af-b04b441cb1bf-b25kZXJkZWVsI05ldHdlcmtrYWFydA', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/2143da76-877d-4603-b0af-b04b441cb1bf-b25kZXJkZWVsI05ldHdlcmtrYWFydA;2143da76-877d-4603-b0af-b04b441cb1bf;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/ac0da9a1-1fa3-44c7-9e98-b89af4bef5fa-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;ac0da9a1-1fa3-44c7-9e98-b89af4bef5fa;https://data.awvvlaanderen.be/id/asset/ac0da9a1-1fa3-44c7-9e98-b89af4bef5fa-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
19;https://data.awvvlaanderen.be/id/asset/2f537319-ddca-4dfc-853c-9a5113f4b903-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/011ff5a2-dc6d-497d-9351-ff19a538496f-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/2f537319-ddca-4dfc-853c-9a5113f4b903-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.identificator': '2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '011ff5a2-dc6d-497d-9351-ff19a538496f-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.identificator': '2f537319-ddca-4dfc-853c-9a5113f4b903-b25kZXJkZWVsI05ldHdlcmtrYWFydA', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/2f537319-ddca-4dfc-853c-9a5113f4b903-b25kZXJkZWVsI05ldHdlcmtrYWFydA;2f537319-ddca-4dfc-853c-9a5113f4b903;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;2868cf69-db45-4d96-9942-5ab4ea5c6451;https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
28;https://data.awvvlaanderen.be/id/asset/5226259b-1efc-4499-873c-b990bbf9bce5-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/2e9df382-e6ee-42fe-afa5-ac08efa8d616-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/5226259b-1efc-4499-873c-b990bbf9bce5-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '2e9df382-e6ee-42fe-afa5-ac08efa8d616-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '5226259b-1efc-4499-873c-b990bbf9bce5-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/5226259b-1efc-4499-873c-b990bbf9bce5-b25kZXJkZWVsI05ldHdlcmtrYWFydA;5226259b-1efc-4499-873c-b990bbf9bce5;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;8d9925dd-33f6-4d64-a562-6df1c7480df1;https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
35;https://data.awvvlaanderen.be/id/asset/5814fd76-267b-4672-b8c1-83cc166c9109-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/3bfbdfef-f266-40fe-a2a4-50607b4c490e-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/5814fd76-267b-4672-b8c1-83cc166c9109-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/1ea63027-5a7a-497c-b947-b3955c27821c-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '1ea63027-5a7a-497c-b947-b3955c27821c-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.identificator': '3bfbdfef-f266-40fe-a2a4-50607b4c490e-b25kZXJkZWVsI0JldmVzdGlnaW5n', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '5814fd76-267b-4672-b8c1-83cc166c9109-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/5814fd76-267b-4672-b8c1-83cc166c9109-b25kZXJkZWVsI05ldHdlcmtrYWFydA;5814fd76-267b-4672-b8c1-83cc166c9109;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/1ea63027-5a7a-497c-b947-b3955c27821c-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;1ea63027-5a7a-497c-b947-b3955c27821c;https://data.awvvlaanderen.be/id/asset/1ea63027-5a7a-497c-b947-b3955c27821c-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
45;https://data.awvvlaanderen.be/id/asset/66c5fe08-41bd-4598-a9ec-bb1238ecae9a-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/7f72cc17-9ebe-4a1a-9cf4-ab7c7ee51f5b-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/66c5fe08-41bd-4598-a9ec-bb1238ecae9a-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '7f72cc17-9ebe-4a1a-9cf4-ab7c7ee51f5b-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.identificator': '66c5fe08-41bd-4598-a9ec-bb1238ecae9a-b25kZXJkZWVsI05ldHdlcmtrYWFydA', 'DtcIdentificator.toegekendDoor': 'AWV'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/66c5fe08-41bd-4598-a9ec-bb1238ecae9a-b25kZXJkZWVsI05ldHdlcmtrYWFydA;66c5fe08-41bd-4598-a9ec-bb1238ecae9a;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;8d9925dd-33f6-4d64-a562-6df1c7480df1;https://data.awvvlaanderen.be/id/asset/8d9925dd-33f6-4d64-a562-6df1c7480df1-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
50;https://data.awvvlaanderen.be/id/asset/7510b57e-1b84-4244-9f40-7862e6ca9941-b25kZXJkZWVsI05ldHdlcmtrYWFydA;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;https://data.awvvlaanderen.be/id/assetrelatie/563b3c7e-6e6d-4ac3-8d0e-382cd8319f4f-b25kZXJkZWVsI0JldmVzdGlnaW5n;{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart', '@id': 'https://data.awvvlaanderen.be/id/asset/7510b57e-1b84-4244-9f40-7862e6ca9941-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};{'@type': 'https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement', '@id': 'https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50'};https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;{'DtcIdentificator.identificator': '2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50', 'DtcIdentificator.toegekendDoor': 'AWV'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '563b3c7e-6e6d-4ac3-8d0e-382cd8319f4f-b25kZXJkZWVsI0JldmVzdGlnaW5n'};{'DtcIdentificator.toegekendDoor': 'AWV', 'DtcIdentificator.identificator': '7510b57e-1b84-4244-9f40-7862e6ca9941-b25kZXJkZWVsI05ldHdlcmtrYWFydA'};True;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkkaart;https://data.awvvlaanderen.be/id/asset/7510b57e-1b84-4244-9f40-7862e6ca9941-b25kZXJkZWVsI05ldHdlcmtrYWFydA;7510b57e-1b84-4244-9f40-7862e6ca9941;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;2868cf69-db45-4d96-9942-5ab4ea5c6451;https://data.awvvlaanderen.be/id/asset/2868cf69-db45-4d96-9942-5ab4ea5c6451-b25kZXJkZWVsI05ldHdlcmtlbGVtZW50;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Netwerkelement;
