naam;count
ANPR camera;45
Aanvullende geometrie;15
Armatuurcontroller;274
Batterij;17
Beschermbuis;265
Betonnen constructie object;28
Betonnen schroefpaal;36
Bevestigingsbeugel;5
Bitumineuze laag;9
Boom;9
Camera;96
Cementbetonverharding;5
Contactor;13
Datakabel;365
Energiemeter DNB;958
Forfaitaire aansluiting;601
Funderingszool;36
Galgpaal;17
Gebouw;25
Geleideconstructie;14
IO-Kaart;73
IoT sensor;306
Kabelnet buis;344
Kabelnet toegang;2033
Kolom;17
Kopmuur;6
LED-driver;1326
Laagspanningsbord;123
Letter-cijfer markering;13
Lichtmast;8
Lichtsensor;4
Lokaal;5
Montagekast;183
Neerslagsensor;7
Netwerkelement;939
Netwerkkaart;838
Netwerkpoort;24958
Niet-selectieve detectielus;34
Omvormer;219
Onderbouw;7
Onderdoorboring;78
Opgaande houtige vegetatie;12
PLC;5
PT-SC-kaart;1
PT-demodulatoren;62
PT-modem;1
PT-radio;1
PT-regelaar;22
PT-uitgangskaart;7
PT-verwerkingseenheid;15
PT-voedingsmodule;12
Pictogram;128
Pijler;14
RSS-bord;5
Rack;5
Retroreflecterend verkeersbord;11
Rioleringsbuis;9
Segmentcontroller;37
Slagboomarm;20
Slagboomarm verlichting;21
Slagboomkolom;22
Sokkel;5
Spanningsomvormer;63
Stroomkring;488
Telecomkabel;4
Ternairmengselverharding;5
Thermo-hygrometer;17
Trajectcontrole;214
Verkeersbordsteun;26
Verkeersregelaar;1
Verlichtingstoestel LED;807
Voedingskabel;179
WV lichtmast;16
Wegkantkast;58
Windmeter;14
