"boom1_uuid";"boom2_uuid";"boom1_naam";"boom2_naam";"boom1_soortnaam";"boom2_soortnaam";"boom1_geom";"boom2_geom";"provincie_naam";"afstand"
"02b76130-15e0-44af-9f8a-87340a24cef6";"6da1467b-abec-4a38-b1f6-1a9ce1328d66";"33933";;"{'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur', 'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65944.51 171302.463 0)";"POINT Z(65944.51 171302.464 0)";"West-Vlaanderen";0.00
"0443be33-3190-4607-9ba1-0e0cac8f5d3c";"b4634bbe-17e2-4ed1-957f-599312d8e320";"33927";;"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65981.061 171196.214 0)";"POINT Z(65981.061 171196.213 0)";"West-Vlaanderen";0.00
"07bcaf25-dd76-42bb-8e98-6562a795673f";"ba1020c1-841d-498f-abef-f672b7da0147";;;"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65991.697 171151.216 0)";"POINT Z(65991.697 171151.215 0)";"West-Vlaanderen";0.00
"0a9da909-9c60-4b08-b257-8735e59e48ab";"f2312d04-b974-4e63-8b9d-c48e68c00983";"33935";;"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65932.518 171337.207 0)";"POINT Z(65932.518 171337.206 0)";"West-Vlaanderen";0.00
"0af13a86-70f0-4742-8172-861c99ca67b5";"58f33b6c-53a2-43fd-8171-d0fd8aef2567";;"33932";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65952.684 171291.518 0)";"POINT Z(65952.684 171291.518 0)";"West-Vlaanderen";0.00
"1848d563-1c7b-4064-9b8a-6f9274daa590";"5c36f399-894a-42f0-a0f4-7b674692958f";"33934";"33934";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65934.567 171325.782 0)";"POINT Z(65934.567 171325.782 0)";"West-Vlaanderen";0.00
"320b1390-d135-4d3f-b60b-1fe4b4f0906f";"f9db0958-84cc-443d-b72b-8c1ee086c7a3";;"33925";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65985.424 171175.488 0)";"POINT Z(65985.424 171175.487 0)";"West-Vlaanderen";0.00
"3bc1bcfa-2efd-441a-9578-f419524379a3";"b04410ef-070b-4c5f-a118-bdb0300ab98e";;"34056";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Amerikaanse eik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus rubra'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Amerikaanse eik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus rubra'}";"POINT Z(65952.806 171332.513 0)";"POINT Z(65952.806 171332.514 0)";"West-Vlaanderen";0.00
"58f33b6c-53a2-43fd-8171-d0fd8aef2567";"0af13a86-70f0-4742-8172-861c99ca67b5";"33932";;"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65952.684 171291.518 0)";"POINT Z(65952.684 171291.518 0)";"West-Vlaanderen";0.00
"5c36f399-894a-42f0-a0f4-7b674692958f";"1848d563-1c7b-4064-9b8a-6f9274daa590";"33934";"33934";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Zomereik', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"{'DtcVegetatieSoortnaam.soortnaamNederlands': 'Eik (Gewone eik - Zomereik)', 'DtcVegetatieSoortnaam.soortnaamWetenschappelijk': 'Quercus robur'}";"POINT Z(65934.567 171325.782 0)";"POINT Z(65934.567 171325.782 0)";"West-Vlaanderen";0.00
