"uuid";"uri";"lengte_wkt_string";"databron"
"26473f3f-e531-4a2d-a84d-ce71a48ee08a";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";37197;"OTL"
"b06bb983-8aac-448c-a062-f85ed03963c8";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";33203;"OTL"
"f5213ad2-43b8-448d-925b-eebda278361d";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";46257;"OTL"
"6d012c0f-5b36-4109-949b-877f4c84c0b8";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";35138;"OTL"
"f890bbc7-6019-44ae-9fee-8628537ec6f0";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";35346;"OTL"
"907aa2d6-19f7-4756-a756-9a4b40d6cce2";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";57349;"OTL"
"85dc7413-b23c-4117-94de-57b6c2aff5f7";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";32874;"OTL"
"46ad2f12-2ffa-4955-b536-d4044efa5f42";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";34385;"OTL"
"70360216-c5b1-454b-a80e-106db757790a";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";32823;"OTL"
"5b9e10b9-948f-4c22-895a-61ea82c8e217";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";41772;"OTL"
"75a9bcc3-3a72-4b24-8385-21e6d38a5d8e";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";37571;"OTL"
"e7a4e319-d599-40cb-845d-6c9bc83772c9";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";42243;"OTL"
"5b77fcf9-ceee-4a69-9a4e-acad2679f487";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";41772;"OTL"
"a649b362-e08f-412a-accb-1c1448d365e8";"https://grp.data.wegenenverkeer.be/ns/installatie#IMKLActivityComplex";38294;"OTL"
